Index,website,Request submitted successful,Reason for failure to submit,,
21,https://postmates.com/,No,Require login to begin,,
52,https://www.myfitnesspal.com/,No,Have to use third party opt-out tools/ only provide instructions,,
54,https://www.weightwatchers.com/us/welcome,No,Have to use third party opt-out tools/ only provide instructions,,
77,https://www.cvs.com/,No,Malfunction or unavailable opt-out pages,,
114,https://www.anthropologie.com/,No,Require offline opt-out steps like sending email or making phone call,,
119,https://www.houzz.com/,No,Malfunction or unavailable opt-out pages,,
120,https://www.hgtv.com/,No,Have to use third party opt-out tools/ only provide instructions,,
132,https://www.craftsy.com/,No,Require offline opt-out steps like sending email or making phone call,,
148,https://dailycaller.com/,No,Malfunction or unavailable opt-out pages,,
178,https://www.dailymail.co.uk/ushome/index.html,No,Have to use third party opt-out tools/ only provide instructions,,
184,https://www.latimes.com/,No,Malfunction or unavailable opt-out pages,,
190,https://www.lendingclub.com/,No,Require login to begin,,
231,https://issuu.com/,No,Require login to begin,,
268,https://www.yelp.com/,No,Have to use third party opt-out tools/ only provide instructions,,
271,https://foursquare.com/,No,Have to use third party opt-out tools/ only provide instructions,,
273,https://www.manta.com/,No,Require offline opt-out steps like sending email or making phone call,,
526,https://www.ask.com/,No,Malfunction or unavailable opt-out pages,,
556,https://www.hotwire.com/,No,Malfunction or unavailable opt-out pages,,
576,https://www.choicehotels.com/,No,Malfunction or unavailable opt-out pages,,
593,https://www.bestbuy.com/,No,Malfunction or unavailable opt-out pages,,
616,https://www.nvidia.com/en-us/,No,Require login to begin,,
622,https://www.microcenter.com/,No,Malfunction or unavailable opt-out pages,,
630,https://www.mcafee.com/,No,Have to use third party opt-out tools/ only provide instructions,,
631,https://www.avast.com/en-us/index#mac,No,Malfunction or unavailable opt-out pages,,
645,https://www.trendmicro.com/en_us/business.html,No,Malfunction or unavailable opt-out pages,,
656,https://www.oracle.com/,No,Have to use third party opt-out tools/ only provide instructions,,
694,https://www.urbanoutfitters.com/,No,Require offline opt-out steps like sending email or making phone call,,
898,https://www.behance.net/,No,Malfunction or unavailable opt-out pages,,
1041,https://www.citi.com/,No,Require submission of other personal informationon 2,,
1046,https://www.citi.com/,No,Require offline opt-out steps like sending email or making phone call,,
959,https://www.netflix.com/,No,Have to use third party opt-out tools/ only provide instructions,,
723,https://www.venus.com/,No,Require offline opt-out steps like sending email or making phone call,,
926,https://www.salary.com/,No,Require offline opt-out steps like sending email or making phone call,,
834,https://www.boattrader.com/,No,Require offline opt-out steps like sending email or making phone call,,
795,https://www.cars.com/,No,Require offline opt-out steps like sending email or making phone call,,
757,https://www.sorel.com/,No,Malfunction or unavailable opt-out pages,,
758,https://www.underarmour.com/en-us/,No,Have to use third party opt-out tools/ only provide instructions,,
751,https://www.mrporter.com/en-us/,No,Require offline opt-out steps like sending email or making phone call,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
