Index,Opt-out method,Name,Email,address,State,phone num,Privacy maze,Separate submissions,CAPCHA test,Asymmetry,Lengthy & confusing,Difficult to locate,Confusing choices,Cookie control misdirection,Unclear request receipt,Identify confirmation,Verified email message,Other actions
113,Opt-out form,Y,Y,,Y,,0,0,0,0,0,0,0,0,0,1,1,0
135,Opt-out form,Y,Y,Y,,Y,0,0,0,0,0,0,0,0,0,1,0,0
346,Opt-out form,Y,Y,Y,Y,Y,1,0,0,0,0,0,0,0,1,1,0,0
493,Opt-out form,Y,Y,,,,0,0,1,0,0,0,0,0,1,1,1,0
683,Opt-out form,Y,Y,Y,Y,Y,1,0,0,0,1,1,0,0,1,1,0,0
810,Opt-out form,Y,Y,Y,Y,Y,1,1,0,0,0,0,0,0,1,1,0,0
817,Opt-out form,Y,Y,Y,Y,,1,1,0,0,0,0,0,0,1,1,1,0
818,Opt-out form,Y,Y,Y,Y,Y,1,1,0,0,1,0,0,0,0,1,0,0
918,Opt-out form,,Y,,,,0,0,0,0,0,0,0,0,0,1,0,0
4,Opt-out form,Y,Y,,Y,Y,0,0,0,0,0,0,0,0,0,1,1,0
7,Opt-out form,Y,Y,,,,0,0,0,0,0,0,0,0,0,0,0,0
16,"Browser opt-out
& Opt-out form",,Y,,,,0,0,0,0,0,0,0,0,0,0,0,0
17,Opt-out form,,Y,,,,0,0,0,0,0,0,0,0,0,0,0,0
19,Opt-out form,,Y,,,,0,0,0,0,0,0,0,0,0,0,0,0
22,Browser opt-out,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
24,Browser opt-out,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
31,Opt-out form,Y,Y,Y,Y,Y,1,0,0,0,0,0,0,0,0,0,0,0
32,Opt-out form,Y,Y,Y,Y,Y,1,1,0,0,0,0,0,0,0,0,0,0
34,Opt-out form,Y,Y,,Y,Y,0,0,0,0,0,0,0,0,0,1,1,0
36,Opt-out form,,Y,,,,0,0,0,0,0,0,0,0,1,0,0,0
38,Opt-out form,Y,Y,,,,0,0,1,0,0,0,0,0,0,0,1,0
39,Opt-out form,Y,Y,,,,0,0,0,0,0,0,0,0,0,1,0,0
40,Opt-out form,Y,Y,,Y,,0,0,0,0,0,0,0,0,0,1,0,0
41,Opt-out form,Y,Y,,Y,,0,0,0,0,0,0,0,0,0,1,1,1
42,Browser opt-out,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
43,Opt-out form,Y,Y,,,,0,0,0,0,0,0,0,0,0,1,0,0
44,Opt-out form,Y,Y,,,Y,0,0,0,0,0,0,0,0,0,0,0,0
